state,intv_id,policy_name,policy_type,feature,change_pct,causal,cost_tier,feasibility,time_horizon,base_prob,cf_prob,abs_effect,rel_effect,risk_tier,description,score,rank,irm_stable,shap_driver,targets_driver,score_final
Chhattisgarh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Chhattisgarh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Chhattisgarh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Dadra and Nagar Haveli and Daman and Diu,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Dadra and Nagar Haveli and Daman and Diu,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Dadra and Nagar Haveli and Daman and Diu,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Delhi,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2583,0.2583,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,state_std,False,1.2
Delhi,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2583,0.2583,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,state_std,False,1.05
Delhi,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2583,0.2583,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,state_std,False,1.05
Goa,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Goa,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Goa,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Gujarat,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2805,0.2805,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,state_std,False,1.2
Gujarat,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2805,0.2805,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,state_std,False,1.05
Gujarat,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2805,0.2805,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,state_std,False,1.05
Haryana,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2144,0.2144,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,state_mean,False,1.2
Haryana,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2144,0.2144,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,state_mean,False,1.05
Haryana,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2144,0.2144,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,state_mean,False,1.05
Himachal Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Himachal Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Himachal Pradesh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Jammu and Kashmir,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Jammu and Kashmir,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Jammu and Kashmir,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Jharkhand,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0029,0.0029,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Jharkhand,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0029,0.0029,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Jharkhand,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0029,0.0029,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Karnataka,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2229,0.2229,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,state_mean,False,1.2
Karnataka,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2229,0.2229,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,state_mean,False,1.05
Karnataka,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2229,0.2229,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,state_mean,False,1.05
Kerala,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Kerala,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Kerala,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Ladakh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Ladakh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Ladakh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Lakshadweep,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Lakshadweep,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Lakshadweep,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Madhya Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.8805,0.5105,-0.37,-42.02,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,26.262,1,True,tb_cases,True,28.262
Madhya Pradesh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.8805,0.5105,-0.37,-42.02,CRITICAL,Intensive case finding + treatment completion to reduce active TB cases by 40%,25.862,2,True,tb_cases,True,27.862
Madhya Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.8805,0.8805,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,3,False,tb_cases,False,1.2
Maharashtra,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),1.0,0.5815,-0.4185,-41.85,CRITICAL,Intensive case finding + treatment completion to reduce active TB cases by 40%,25.759999999999998,1,True,tb_cases,True,27.759999999999998
Maharashtra,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),1.0,0.9515,-0.0485,-4.85,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,3.9599999999999995,2,True,tb_cases,True,5.959999999999999
Maharashtra,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,3,False,tb_cases,False,1.2
Manipur,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Manipur,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Manipur,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Meghalaya,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Meghalaya,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Meghalaya,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Mizoram,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Mizoram,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Mizoram,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Nagaland,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Nagaland,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Nagaland,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Odisha,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0107,0.0107,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Odisha,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0107,0.0107,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Odisha,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0107,0.0107,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Puducherry,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Puducherry,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Puducherry,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Punjab,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0025,0.0025,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Punjab,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0025,0.0025,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Punjab,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0025,0.0025,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Rajasthan,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.3305,0.2905,-0.04,-12.1,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,8.31,1,True,state_std,False,8.31
Rajasthan,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.3305,0.2905,-0.04,-12.1,MODERATE,Intensive case finding + treatment completion to reduce active TB cases by 40%,7.91,2,True,state_std,False,7.91
Rajasthan,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.3305,0.3305,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,3,False,state_std,False,1.2
Sikkim,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Sikkim,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Sikkim,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Tamil Nadu,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2699,0.2699,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,state_mean,False,1.2
Tamil Nadu,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2699,0.2699,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,state_mean,False,1.05
Tamil Nadu,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2699,0.2699,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,state_mean,False,1.05
Telangana,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.1069,0.1069,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Telangana,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.1069,0.1069,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Telangana,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.1069,0.1069,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Tripura,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Tripura,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Tripura,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
Uttar Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,tb_cases,False,1.2
Uttar Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),1.0,1.0,0.0,0.0,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,tb_cases,True,3.05
Uttar Pradesh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,tb_cases,False,1.05
Uttarakhand,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,c_cdr,True,3.2
Uttarakhand,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,c_cdr,False,1.05
Uttarakhand,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,c_cdr,True,3.05
West Bengal,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2797,0.2797,0.0,0.0,MODERATE,Expand DOTS network to increase case detection rate by 20%,1.2,1,False,state_std,False,1.2
West Bengal,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2797,0.2797,0.0,0.0,MODERATE,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,2,True,state_std,False,1.05
West Bengal,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2797,0.2797,0.0,0.0,MODERATE,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,3,False,state_std,False,1.05
