state,intv_id,policy_name,policy_type,feature,change_pct,causal,cost_tier,feasibility,time_horizon,base_prob,cf_prob,abs_effect,rel_effect,risk_tier,description,score,irm_stable
Haryana,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2144,0.2144,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Haryana,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2144,0.2144,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Haryana,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.2144,0.2144,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Haryana,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.2144,0.2144,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Himachal Pradesh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Himachal Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Himachal Pradesh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Himachal Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Himachal Pradesh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Himachal Pradesh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Jammu and Kashmir,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Jammu and Kashmir,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Jammu and Kashmir,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Jammu and Kashmir,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Jammu and Kashmir,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Jammu and Kashmir,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Jharkhand,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0029,0.0029,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Jharkhand,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0029,0.0029,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Jharkhand,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0029,0.0029,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Jharkhand,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0029,0.0029,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Jharkhand,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0029,0.0029,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Jharkhand,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0029,0.0029,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Karnataka,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.2229,0.2229,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Karnataka,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.2229,0.2229,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Karnataka,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.2229,0.2229,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Karnataka,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.2229,0.2229,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Karnataka,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.2229,0.2229,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Karnataka,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.2229,0.2229,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Kerala,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Kerala,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Kerala,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Kerala,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Kerala,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Kerala,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Ladakh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Ladakh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Ladakh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Ladakh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Ladakh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Ladakh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Lakshadweep,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,Intensive case finding + treatment completion to reduce active TB cases by 40%,0.65,True
Lakshadweep,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,1.05,True
Lakshadweep,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Lakshadweep,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.0,0.0,0.0,0.0,LOW,Expand DOTS network to increase case detection rate by 20%,1.2,False
Lakshadweep,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.0,0.0,0.0,0.0,LOW,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Lakshadweep,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.0,0.0,0.0,0.0,LOW,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Madhya Pradesh,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),0.8805,0.5105,-0.37,-42.02,CRITICAL,Intensive case finding + treatment completion to reduce active TB cases by 40%,25.862,True
Madhya Pradesh,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),0.8805,0.5105,-0.37,-42.02,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,26.262,True
Madhya Pradesh,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),0.8805,0.8805,0.0,0.0,CRITICAL,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Madhya Pradesh,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),0.8805,0.8805,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,False
Madhya Pradesh,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),0.8805,0.8805,0.0,0.0,CRITICAL,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
Madhya Pradesh,INT_06,Better Treatment Access,Treatment,e_mort_100k,-0.2,False,H,M,Medium-term (1-2 years),0.8805,0.8805,0.0,0.0,CRITICAL,Improve access to second-line drugs to reduce TB mortality by 20%,0.65,False
Maharashtra,INT_01,TB Elimination Campaign,Treatment,tb_cases,-0.4,True,H,M,Long-term (3-5 years),1.0,0.5815,-0.4185,-41.85,CRITICAL,Intensive case finding + treatment completion to reduce active TB cases by 40%,25.759999999999998,True
Maharashtra,INT_02,Treatment Intensification,Treatment,tb_cases,-0.2,True,M,H,Medium-term (1-2 years),1.0,0.9515,-0.0485,-4.85,CRITICAL,Enhanced DOTS + direct observed therapy to reduce active cases by 20%,3.9599999999999995,True
Maharashtra,INT_03,Aggressive Detection Drive,Detection,c_cdr,0.4,False,M,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Mass screening + mobile diagnostics to increase case detection rate by 40%,1.05,False
Maharashtra,INT_04,Improve DOTS Coverage,Detection,c_cdr,0.2,False,L,H,Short-term (6-12 months),1.0,1.0,0.0,0.0,CRITICAL,Expand DOTS network to increase case detection rate by 20%,1.2,False
Maharashtra,INT_05,Prevention Programs,Prevention,e_inc_100k,-0.15,False,M,M,Long-term (3-5 years),1.0,1.0,0.0,0.0,CRITICAL,BCG vaccination + contact tracing to reduce TB incidence by 15%,0.8,True
